thesisID,recall,precision,f1,jaccard
1,0.0,0.0,0.0,0.0
2,0.01,0.2,0.02,0.0
3,0.0,0.0,0.0,0.0
4,0.17,0.1,0.12,0.0
5,0.0,0.0,0.0,0.0
6,0.17,0.1,0.12,0.0
7,0.0,0.0,0.0,0.0
8,0.17,0.1,0.12,0.0
9,0.0,0.0,0.0,0.0
10,0.5,0.4,0.44,0.0
11,0.03,0.1,0.05,0.0
12,0.06,0.1,0.07,0.0
14,0.0,0.0,0.0,0.0
15,0.17,0.3,0.21,0.0
16,0.0,0.0,0.0,0.0
17,0.14,0.2,0.17,0.0
18,0.18,0.9,0.3,0.0
19,0.21,0.7,0.33,0.0
20,0.12,0.3,0.18,0.0
